Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,month,day,hour,minute
50,0,21.0,46.0,20,45,20,45,21,46,19,50.0,4.0,92,18,46.0,19,55,17,47.0,5,738,92,5.0,40.0,4.0,1,12,2,10
50,0,21.0,46.0,20,45,20,45,21,46,19,50.0,4.0,93,18,46.0,19,55,17,47.0,5,738,92,5.0,40.0,4.0,1,12,2,20
50,0,21.0,46.0,20,44,20,46,21,46,19,50.0,4.0,94,18,46.0,19,55,17,47.0,5,739,92,4.0,40.0,4.0,1,12,2,30
40,0,21.0,46.0,20,44,20,46,21,46,19,50.0,4.0,93,18,46.0,19,55,17,48.0,5,739,92,4.0,40.0,4.0,1,12,2,40
40,0,21.0,46.0,20,44,20,45,21,46,19,50.0,4.0,93,18,46.0,19,55,17,48.0,5,739,92,4.0,40.0,4.0,1,12,2,50
30,0,21.0,46.0,20,45,20,45,21,38,19,50.0,4.0,93,18,46.0,19,55,17,48.0,5,739,92,4.0,40.0,4.0,1,12,3,0
20,0,20.0,46.0,20,45,20,45,21,46,19,50.0,4.0,93,18,46.0,19,55,17,48.0,5,739,92,4.0,40.0,4.0,1,12,3,10
20,0,20.0,46.0,20,45,20,45,20,46,19,50.0,4.0,93,18,46.0,19,55,17,48.0,5,739,92,5.0,40.0,4.0,1,12,3,20
40,0,20.0,46.0,20,45,20,45,20,46,19,50.0,4.0,94,18,46.0,19,55,17,48.0,5,739,92,5.0,40.0,4.0,1,12,3,30
50,0,20.0,46.0,20,45,20,45,20,46,19,50.0,4.0,95,18,46.0,19,55,17,48.0,5,739,93,5.0,40.0,4.0,1,12,3,40
50,0,20.0,46.0,20,45,20,46,20,46,19,50.0,4.0,95,18,46.0,19,55,17,48.0,5,739,93,6.0,40.0,4.0,1,12,3,50
40,0,20.0,46.0,20,45,20,46,20,46,19,50.0,4.0,95,18,46.0,19,55,17,48.0,5,740,93,6.0,40.0,4.0,1,12,4,0
50,0,20.0,47.0,20,45,20,46,20,46,19,50.0,5.0,95,18,46.0,19,54,17,49.0,5,740,93,6.0,40.0,4.0,1,12,4,10
40,0,20.0,46.0,20,45,20,46,20,46,18,50.0,5.0,95,18,46.0,19,54,17,49.0,5,740,92,6.0,40.0,4.0,1,12,4,20
40,0,20.0,46.0,20,45,20,46,20,46,18,50.0,5.0,95,18,46.0,19,54,17,49.0,5,740,92,6.0,40.0,4.0,1,12,4,30
40,0,20.0,47.0,20,45,20,46,20,46,18,50.0,5.0,94,18,46.0,19,54,17,49.0,5,740,92,5.0,40.0,4.0,1,12,4,40
60,0,20.0,46.0,20,45,20,46,20,46,18,50.0,5.0,94,18,46.0,19,54,17,49.0,5,740,91,5.0,40.0,4.0,1,12,4,50
50,0,20.0,46.0,20,45,20,46,20,47,18,50.0,5.0,94,18,46.0,19,54,17,49.0,5,740,91,5.0,40.0,4.0,1,12,5,0
50,0,20.0,46.0,19,45,20,46,20,47,18,50.0,5.0,94,18,46.0,19,54,17,49.0,7,740,92,5.0,40.0,4.0,1,12,5,10
40,0,20.0,46.0,19,45,20,46,20,47,18,50.0,5.0,94,18,46.0,19,54,17,49.0,5,740,92,5.0,40.0,4.0,1,12,5,20
40,0,20.0,46.0,19,45,20,46,20,47,18,50.0,5.0,94,18,46.0,19,54,17,49.0,5,740,93,4.0,40.0,4.0,1,12,5,30
40,0,20.0,46.0,19,45,20,46,20,47,18,50.0,5.0,95,18,46.0,19,54,17,50.0,5,740,94,4.0,40.0,4.0,1,12,5,40
40,0,20.0,46.0,19,45,20,46,20,47,18,50.0,5.0,95,18,46.0,19,54,17,50.0,5,740,94,4.0,40.0,4.0,1,12,5,50
40,0,20.0,43.0,19,43,20,44,19,43,17,51.0,5.0,91,18,41.0,19,50,17,46.0,6,747,84,6.0,40.0,3.0,1,12,11,0
40,0,20.0,43.0,19,43,20,45,19,43,17,51.0,6.0,89,18,42.0,19,51,17,46.0,7,747,83,6.0,40.0,3.0,1,12,11,10
40,0,20.0,43.0,19,43,20,45,19,44,17,51.0,6.0,87,18,42.0,19,51,17,46.0,6,747,83,7.0,40.0,3.0,1,12,11,20
40,0,20.0,43.0,19,43,20,45,19,44,17,51.0,6.0,85,18,42.0,19,51,17,46.0,6,747,82,7.0,40.0,3.0,1,12,11,30
50,0,20.0,43.0,19,43,20,45,19,44,17,51.0,6.0,85,18,42.0,19,51,17,46.0,6,747,81,7.0,40.0,3.0,1,12,11,40
50,0,20.0,43.0,19,43,20,45,19,44,17,51.0,6.0,84,18,42.0,19,52,17,47.0,6,747,81,8.0,40.0,3.0,1,12,11,50
50,0,19.5,43.0,19,43,20,45,19,44,17,51.0,6.0,83,18,42.0,19,52,17,47.0,6,747,80,8.0,40.0,3.0,1,13,0,0
30,0,19.5,43.0,19,43,20,45,19,44,17,51.0,6.0,81,18,43.0,19,52,17,47.0,6,748,81,8.0,38.0,3.0,1,13,0,10
20,0,19.5,43.0,19,43,20,45,19,44,17,52.0,6.0,81,18,43.0,19,52,17,47.0,6,748,83,8.0,36.0,3.0,1,13,0,20
30,0,19.5,43.0,19,43,20,45,19,44,17,52.0,6.0,84,18,43.0,19,52,17,47.0,6,748,84,8.0,34.0,3.0,1,13,0,30
20,0,19.5,43.0,19,43,20,45,19,44,17,52.0,6.0,87,18,43.0,19,52,17,47.0,6,748,85,8.0,31.0,3.0,1,13,0,40
40,0,19.5,43.0,19,43,20,45,19,44,17,52.0,6.0,87,18,43.0,19,52,17,47.0,5,748,87,8.0,29.0,3.0,1,13,0,50
50,0,19.5,43.0,19,43,20,45,19,44,17,52.0,6.0,86,18,44.0,19,52,17,48.0,5,748,88,8.0,27.0,4.0,1,13,1,0
60,0,19.5,44.0,19,44,20,45,19,44,17,52.0,6.0,86,18,44.0,19,52,17,48.0,5,748,88,8.0,26.0,4.0,1,13,1,10
50,0,19.5,44.0,19,44,20,45,19,44,17,52.0,5.0,87,18,44.0,19,53,17,48.0,5,748,89,8.0,25.0,4.0,1,13,1,20
40,0,19.5,44.0,19,44,20,45,19,44,17,52.0,5.0,89,18,44.0,19,53,17,48.0,5,749,90,8.0,24.0,4.0,1,13,1,30
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,5.0,90,18,44.0,19,53,17,48.0,5,749,90,8.0,23.0,4.0,1,13,1,40
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,5.0,90,18,44.0,19,54,17,49.0,5,749,90,8.0,22.0,4.0,1,13,1,50
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,5.0,89,18,45.0,19,55,17,49.0,5,749,91,8.0,21.0,4.0,1,13,2,0
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,5.0,89,18,45.0,19,55,17,49.0,5,749,91,8.0,22.0,4.0,1,13,2,10
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,88,18,45.0,19,55,17,49.0,5,749,90,8.0,22.0,4.0,1,13,2,20
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,87,18,45.0,19,55,17,49.0,5,749,90,8.0,22.0,4.0,1,13,2,30
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,86,18,45.0,19,55,17,49.0,5,750,90,8.0,23.0,4.0,1,13,2,40
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,86,18,45.0,19,55,17,49.0,5,750,89,8.0,24.0,4.0,1,13,2,50
30,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,85,18,45.0,19,55,17,50.0,6,750,89,8.0,24.0,4.0,1,13,3,0
20,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,85,18,45.0,19,55,17,50.0,5,750,89,8.0,24.0,4.0,1,13,3,10
20,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,85,18,45.0,19,55,17,50.0,5,750,89,8.0,24.0,4.0,1,13,3,20
20,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,85,18,45.0,19,54,17,50.0,5,751,89,8.0,24.0,4.0,1,13,3,30
50,0,19.5,44.0,18,44,20,45,19,38,17,52.0,6.0,83,18,45.0,19,54,17,50.0,5,751,89,8.0,24.0,4.0,1,13,3,40
50,0,19.5,44.0,18,44,20,45,19,44,17,49.0,6.0,82,18,45.0,19,54,17,50.0,5,751,89,8.0,24.0,4.0,1,13,3,50
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,81,18,45.0,19,54,17,50.0,5,751,89,8.0,24.0,4.0,1,13,4,0
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,80,18,45.0,19,54,17,50.0,5,751,89,8.0,24.0,4.0,1,13,4,10
40,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,80,18,45.0,19,54,17,50.0,5,751,89,8.0,23.0,4.0,1,13,4,20
50,0,19.5,44.0,18,44,20,45,19,44,17,52.0,6.0,80,18,45.0,19,54,17,50.0,5,752,90,8.0,23.0,4.0,1,13,4,30
40,0,19.5,44.0,18,44,20,45,19,44,17,53.0,6.0,80,18,45.0,19,54,17,50.0,5,752,90,8.0,23.0,4.0,1,13,4,40
50,0,19.5,44.0,18,44,20,45,19,44,17,53.0,6.0,80,20,45.0,19,54,17,50.0,5,752,90,8.0,22.0,4.0,1,13,4,50
50,0,19.5,44.0,18,44,20,45,19,44,17,53.0,6.0,80,18,45.0,19,54,17,50.0,5,752,90,8.0,22.0,4.0,1,13,5,0
50,0,19.5,44.0,18,44,20,45,18,44,17,53.0,6.0,79,18,45.0,19,54,17,50.0,5,752,90,8.0,22.0,4.0,1,13,5,10
40,0,19.5,44.0,18,44,20,45,18,44,17,53.0,5.0,78,18,45.0,19,54,17,50.0,5,752,90,8.0,22.0,4.0,1,13,5,20
40,0,19.5,44.0,18,44,20,45,18,44,17,53.0,5.0,79,18,45.0,19,54,17,50.0,5,752,90,8.0,22.0,4.0,1,13,5,30
50,0,19.5,44.0,18,44,20,45,18,44,17,53.0,5.0,79,18,45.0,19,54,17,50.0,5,752,90,7.0,23.0,3.0,1,13,5,40
20,0,19.5,44.0,18,44,20,45,18,44,17,53.0,6.0,79,18,45.0,19,53,17,50.0,5,753,90,7.0,23.0,3.0,1,13,5,50
30,0,20.0,42.0,19,41,21,45,19,41,19,64.5,2.0,89,18,38.0,20,47,17,42.0,3,756,86,6.0,40.0,1.0,1,13,11,0
40,0,19.5,42.0,19,41,21,44,19,41,19,64.5,2.0,90,18,39.0,20,47,17,42.0,3,756,86,6.0,38.0,1.0,1,13,11,10
50,0,19.5,42.0,19,41,21,44,19,41,19,64.5,2.0,90,18,39.0,20,48,17,42.0,3,756,87,6.0,36.0,1.0,1,13,11,20
50,0,19.5,42.0,19,41,20,44,19,41,18,64.5,2.0,90,18,39.0,20,48,17,42.0,3,756,88,6.0,34.0,1.0,1,13,11,30
40,0,19.5,42.0,19,41,20,44,19,41,18,64.5,2.0,90,18,39.0,22,48,17,43.0,3,756,88,5.0,33.0,1.0,1,13,11,40
40,0,19.5,42.0,19,41,20,44,19,41,18,64.5,2.0,90,18,39.0,20,49,17,43.0,3,756,88,5.0,40.0,1.0,1,13,11,50
50,0,19.5,42.0,19,41,20,44,19,41,18,64.5,2.0,90,18,40.0,20,49,17,43.0,3,756,89,5.0,29.0,1.0,1,14,0,0
50,0,19.5,42.0,19,41,20,44,19,41,18,64.5,2.0,89,18,40.0,20,49,17,43.0,3,755,89,5.0,29.0,1.0,1,14,0,10
40,0,19.5,42.0,19,41,20,44,19,41,18,64.5,1.0,89,18,40.0,20,49,17,43.0,3,755,89,5.0,28.0,1.0,1,14,0,20
60,0,19.5,42.0,19,41,20,44,19,41,18,64.5,1.0,90,18,40.0,20,49,17,44.0,3,755,90,5.0,28.0,1.0,1,14,0,30
40,0,19.5,42.0,19,41,20,43,19,42,18,64.5,2.0,90,18,41.0,20,50,17,44.0,3,755,90,5.0,28.0,1.0,1,14,0,40
40,0,19.5,42.0,19,41,20,43,19,42,18,64.5,2.0,91,18,41.0,19,50,17,44.0,3,755,90,5.0,27.0,1.0,1,14,0,50
50,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,92,18,41.0,19,50,17,44.0,3,755,90,5.0,27.0,1.0,1,14,1,0
40,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,92,18,41.0,19,50,17,45.0,3,755,90,5.0,27.0,1.0,1,14,1,10
30,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,92,18,41.0,19,51,17,45.0,3,754,91,5.0,27.0,2.0,1,14,1,20
30,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,93,18,42.0,19,51,17,45.0,3,754,92,5.0,28.0,2.0,1,14,1,30
30,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,93,18,42.0,19,51,17,45.0,3,754,92,5.0,28.0,2.0,1,14,1,40
40,0,19.5,42.0,18,41,20,43,19,42,18,64.5,2.0,93,18,42.0,19,51,17,46.0,3,754,92,5.0,28.0,2.0,1,14,1,50
40,0,19.5,42.0,18,41,20,43,18,42,18,64.5,2.0,93,18,42.0,19,51,17,46.0,3,754,93,5.0,28.0,2.0,1,14,2,0
50,0,19.5,42.0,18,41,20,43,18,42,18,64.5,2.0,93,18,42.0,19,51,17,46.0,3,754,92,5.0,30.0,2.0,1,14,2,10
40,0,19.5,42.0,18,41,20,43,18,42,18,64.0,2.0,93,18,42.0,19,51,17,46.0,3,754,92,5.0,32.0,2.0,1,14,2,20
40,0,19.5,42.0,18,41,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,46.0,3,753,91,6.0,34.0,2.0,1,14,2,30
40,0,19.5,42.0,18,41,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,46.0,3,753,90,6.0,36.0,2.0,1,14,2,40
50,0,19.5,42.0,18,41,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,47.0,3,753,90,6.0,38.0,2.0,1,14,2,50
50,0,19.5,42.0,18,41,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,47.0,3,753,89,6.0,40.0,2.0,1,14,3,0
50,0,19.5,42.0,18,41,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,47.0,3,753,89,6.0,38.0,2.0,1,14,3,10
40,0,19.5,42.0,18,42,20,43,18,42,18,64.0,3.0,93,18,42.0,19,51,17,47.0,3,753,89,6.0,36.0,2.0,1,14,3,20
50,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,92,18,42.0,19,51,17,47.0,3,752,89,6.0,34.0,2.0,1,14,3,30
40,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,92,18,42.0,19,51,17,47.0,3,752,89,5.0,32.0,2.0,1,14,3,40
40,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,91,18,42.0,19,51,17,47.0,3,752,89,5.0,30.0,2.0,1,14,3,50
30,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,55,18,42.0,19,51,17,47.0,3,752,89,5.0,28.0,2.0,1,14,4,10
30,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,91,18,42.0,19,50,17,47.0,3,752,89,5.0,28.0,2.0,1,14,4,20
40,0,19.5,42.0,18,42,20,43,18,42,18,63.0,3.0,91,18,42.0,19,50,17,47.0,3,752,90,6.0,28.0,2.0,1,14,4,30
50,0,19.5,42.0,18,42,20,43,18,42,17,63.0,3.0,91,18,42.0,19,50,17,48.0,3,751,90,6.0,29.0,2.0,1,14,4,40
40,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,91,18,42.0,19,50,17,48.0,3,751,90,6.0,29.0,2.0,1,14,4,50
40,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,91,18,42.0,19,50,17,48.0,3,751,90,6.0,29.0,2.0,1,14,5,0
50,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,91,18,42.0,19,50,17,48.0,3,751,90,6.0,29.0,2.0,1,14,5,10
40,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,90,18,42.0,19,50,17,48.0,3,751,90,6.0,28.0,2.0,1,14,5,20
50,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,90,18,42.0,19,50,17,48.0,3,751,90,6.0,28.0,2.0,1,14,5,30
50,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,91,18,42.0,19,50,17,48.0,3,750,90,5.0,28.0,2.0,1,14,5,40
40,0,19.5,42.0,18,42,20,43,18,42,17,62.0,3.0,91,18,43.0,19,50,17,48.0,3,750,90,5.0,27.0,2.0,1,14,5,50
50,0,23.0,40.0,23,40,21,43,19,45,19,56.0,2.0,78,19,40.0,20,47,17,46.0,1,750,92,7.0,23.0,0.0,1,14,11,0
40,0,23.5,40.0,23,40,21,43,19,45,19,56.0,2.0,80,19,41.0,20,48,17,46.0,1,750,92,7.0,28.0,0.0,1,14,11,10
30,0,23.5,40.0,23,40,21,43,19,45,19,56.0,2.0,83,19,41.0,20,48,17,46.0,1,750,93,8.0,33.0,0.0,1,14,11,20
30,0,23.5,40.0,23,40,21,43,19,44,19,56.0,2.0,85,19,41.0,20,48,17,46.0,1,749,93,8.0,38.0,0.0,1,14,11,30
40,0,23.5,40.0,23,40,21,43,19,44,19,56.0,2.0,87,19,41.0,20,48,17,46.0,1,749,93,8.0,42.0,0.0,1,14,11,40
40,0,23.5,40.0,23,40,21,43,19,44,19,56.0,2.0,89,19,41.0,20,49,17,46.0,1,749,94,9.0,47.0,0.0,1,14,11,50
50,0,23.5,40.0,23,39,21,43,19,44,19,56.0,1.0,89,19,41.0,20,49,17,46.0,1,749,94,9.0,52.0,0.0,1,15,0,0
60,0,23.5,40.0,23,39,21,43,19,44,19,56.0,1.0,91,19,42.0,20,49,17,46.0,1,749,95,9.0,49.0,0.0,1,15,0,10
50,0,23.5,40.0,23,39,21,43,19,44,19,56.0,1.0,92,19,42.0,20,49,17,46.0,1,749,96,9.0,46.0,0.0,1,15,0,20
60,0,23.5,39.0,23,39,21,43,19,44,19,56.0,1.0,93,19,42.0,20,49,17,46.0,0,749,97,9.5,43.0,0.0,1,15,0,30
50,0,23.5,39.0,23,39,21,43,19,44,19,56.0,1.0,94,19,42.0,20,49,17,46.0,0,749,98,9.5,40.0,0.0,1,15,0,40
50,0,23.5,39.0,23,39,21,43,19,44,19,56.0,1.0,95,19,42.0,20,49,17,46.0,0,749,99,9.5,37.0,0.0,1,15,0,50
50,0,23.5,39.0,23,39,21,43,19,44,19,55.0,1.0,95,19,42.0,20,49,17,47.0,0,749,100,9.5,34.0,0.0,1,15,1,0
50,0,23.5,39.0,23,39,21,43,19,44,19,55.0,0.0,95,19,42.0,20,49,17,47.0,0,749,100,9.5,39.0,0.0,1,15,1,10
50,0,23.5,39.0,23,39,21,43,19,44,19,55.0,0.0,95,19,42.0,20,49,17,47.0,0,749,100,9.5,43.0,0.0,1,15,1,20
50,0,23.5,39.0,23,39,21,43,18,44,19,55.0,1.0,95,18,42.0,20,49,17,47.0,0,749,100,9.5,48.0,0.0,1,15,1,30
60,0,23.5,39.0,23,39,21,43,18,44,19,55.0,1.0,95,18,42.0,20,49,17,47.0,0,749,99,9.5,53.0,0.0,1,15,1,40
50,0,23.5,39.0,23,39,21,43,18,43,19,55.0,1.0,95,18,42.0,19,49,17,47.0,0,749,99,9.5,57.0,0.0,1,15,1,50
50,0,23.5,39.0,23,39,21,43,18,43,19,55.0,1.0,95,18,42.0,19,49,17,47.0,0,749,99,9.5,62.0,0.0,1,15,2,0
50,0,23.5,39.0,23,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,49,17,47.0,1,750,98,9.5,56.0,0.0,1,15,2,10
50,0,23.5,39.0,23,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,49,17,47.0,1,750,97,9.5,49.0,0.0,1,15,2,20
40,0,23.0,39.0,22,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,50,17,47.0,1,750,96,9.5,42.0,0.0,1,15,2,30
50,0,23.0,39.0,22,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,1,750,94,9.5,36.0,0.0,1,15,2,40
40,0,23.0,39.0,22,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,1,750,93,9.5,30.0,0.0,1,15,2,50
30,0,23.0,40.0,22,39,21,43,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,1,750,92,9.5,23.0,0.0,1,15,3,0
40,0,23.0,39.0,22,39,21,44,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,2,750,90,9.5,23.0,0.0,1,15,3,10
30,0,23.0,40.0,22,39,21,44,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,2,750,89,9.5,24.0,0.0,1,15,3,20
60,0,23.0,39.0,22,39,21,44,18,43,18,55.0,1.0,95,18,42.0,19,50,17,48.0,2,750,88,9.5,24.0,0.0,1,15,3,30
50,0,23.0,39.0,22,39,21,44,18,43,18,55.0,2.0,95,18,42.0,19,50,17,48.0,2,751,86,9.5,24.0,0.0,1,15,3,40
50,0,23.0,39.0,22,39,21,44,18,43,18,54.0,2.0,95,18,43.0,19,49,17,48.0,2,751,84,9.5,25.0,0.0,1,15,3,50
40,0,23.0,39.0,22,39,21,44,18,43,18,54.0,2.0,95,18,43.0,19,49,17,48.0,3,751,83,9.5,25.0,0.0,1,15,4,0
50,0,23.0,39.0,22,39,21,44,18,43,18,54.0,2.0,95,18,43.0,19,49,17,48.0,3,751,82,9.5,28.0,0.0,1,15,4,10
60,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,95,18,43.0,19,49,17,48.0,3,751,81,9.5,30.0,0.0,1,15,4,20
50,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,43.0,19,49,17,48.0,3,751,80,9.5,32.0,0.0,1,15,4,30
50,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,751,78,9.5,35.0,-1.0,1,15,4,40
50,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,751,77,9.5,38.0,-1.0,1,15,4,50
50,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,751,76,9.5,40.0,-1.0,1,15,5,0
40,0,23.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,751,75,9.5,40.0,-1.0,1,15,5,10
50,0,22.0,40.0,22,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,751,75,9.5,40.0,-1.0,1,15,5,20
50,0,22.0,39.0,21,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,752,74,9.5,40.0,-1.0,1,15,5,30
50,0,22.0,39.0,21,39,21,44,18,43,18,54.0,2.0,96,18,42.0,19,49,17,48.0,3,752,73,9.5,40.0,-1.0,1,15,5,40
60,0,22.0,40.0,21,39,21,44,18,42,18,54.0,2.0,95,18,42.0,19,49,17,48.0,3,752,73,9.5,40.0,-1.0,1,15,5,50
70,0,23.0,40.0,22,38,21,42,22,43,21,64.5,2.0,95,19,40.0,21,45,18,46.0,3,761,95,3.0,40.0,2.0,1,15,11,0
70,0,23.0,40.0,22,38,21,42,22,43,21,64.5,2.0,94,19,40.0,21,46,18,46.0,3,761,95,3.0,38.0,2.0,1,15,11,10
70,0,23.0,40.0,22,38,21,42,21,43,21,64.5,2.0,94,19,40.0,21,47,18,46.0,3,761,96,3.0,36.0,2.0,1,15,11,20
60,0,23.0,40.0,22,39,21,42,21,43,20,64.5,2.0,95,19,40.0,21,47,18,46.0,3,761,96,3.0,34.0,2.0,1,15,11,30
60,0,23.0,40.0,22,39,21,42,21,44,20,64.0,2.0,95,19,40.0,21,47,18,47.0,2,761,96,3.0,32.0,2.0,1,15,11,40
50,0,23.0,40.0,22,39,21,42,21,44,20,62.0,2.0,94,19,40.0,21,47,18,47.0,2,761,97,3.0,30.0,2.0,1,15,11,50
50,0,23.0,40.0,22,39,21,42,21,44,20,61.0,2.0,94,19,40.0,21,47,18,47.0,2,761,97,3.0,28.0,2.0,1,16,0,0
50,0,23.0,40.0,22,39,21,42,21,44,20,59.0,2.0,94,19,40.0,21,48,18,47.0,2,761,97,3.0,29.0,2.0,1,16,0,10
30,0,23.0,40.0,22,39,21,42,21,44,20,59.0,2.0,94,19,40.0,21,48,18,47.0,2,761,97,3.0,30.0,2.0,1,16,0,20
20,0,23.0,40.0,22,39,21,42,21,44,20,58.0,2.0,94,19,41.0,21,48,18,47.0,2,761,96,4.0,31.0,2.0,1,16,0,30
40,0,23.0,40.0,22,39,21,42,21,44,20,57.0,2.0,95,19,41.0,20,48,18,47.0,2,761,96,4.0,32.0,2.0,1,16,0,40
50,0,23.0,40.0,22,40,21,42,21,44,20,57.0,2.0,95,19,41.0,20,48,19,47.0,2,761,96,4.0,33.0,2.0,1,16,0,50
50,0,23.0,40.0,22,39,21,42,21,44,20,56.0,2.0,95,19,41.0,20,48,18,47.0,2,761,96,4.0,34.0,2.0,1,16,1,0
50,0,23.0,40.0,22,39,21,42,21,44,20,56.0,2.0,95,19,41.0,20,48,18,47.0,2,762,96,4.0,35.0,2.0,1,16,1,10
